REGION,TECHNOLOGY,VALUE
GLOBAL,PWROILPERXX01,31.536
GLOBAL,PWROILPRYXX01,31.536
GLOBAL,PWROILSLVXX01,31.536
GLOBAL,PWROILURYXX01,31.536
GLOBAL,PWROTHARGXX01,31.536
GLOBAL,PWROTHBOLXX01,31.536
GLOBAL,PWROTHBRACN01,31.536
GLOBAL,PWROTHBRACW01,31.536
GLOBAL,PWROTHBRANE01,31.536
GLOBAL,PWROTHBRANW01,31.536
GLOBAL,PWROTHBRASE01,31.536
GLOBAL,PWROTHBRASO01,31.536
GLOBAL,PWROTHBRAWE01,31.536
GLOBAL,PWROTHCHLXX01,31.536
GLOBAL,PWROTHCOLXX01,31.536
GLOBAL,PWROTHCRIXX01,31.536
GLOBAL,PWROTHDOMXX01,31.536
GLOBAL,PWROTHECUXX01,31.536
GLOBAL,PWROTHGTMXX01,31.536
GLOBAL,PWROTHHNDXX01,31.536
GLOBAL,PWROTHHTIXX01,31.536
GLOBAL,PWROTHJAMXX01,31.536
GLOBAL,PWROTHMEXXX01,31.536
GLOBAL,PWROTHNICXX01,31.536
GLOBAL,PWROTHPANXX01,31.536
GLOBAL,PWROTHPERXX01,31.536
GLOBAL,PWROTHPRYXX01,31.536
GLOBAL,PWROTHSLVXX01,31.536
GLOBAL,PWROTHURYXX01,31.536
GLOBAL,PWRPETARGXX01,31.536
GLOBAL,PWRPETBOLXX01,31.536
GLOBAL,PWRPETBRACN01,31.536
GLOBAL,PWRPETBRACW01,31.536
GLOBAL,PWRPETBRANE01,31.536
GLOBAL,PWRPETBRANW01,31.536
GLOBAL,PWRPETBRASE01,31.536
GLOBAL,PWRPETBRASO01,31.536
GLOBAL,PWRPETBRAWE01,31.536
GLOBAL,PWRPETCHLXX01,31.536
GLOBAL,PWRPETCOLXX01,31.536
GLOBAL,PWRPETCRIXX01,31.536
GLOBAL,PWRPETDOMXX01,31.536
GLOBAL,PWRPETECUXX01,31.536
GLOBAL,PWRPETGTMXX01,31.536
GLOBAL,PWRPETHNDXX01,31.536
GLOBAL,PWRPETHTIXX01,31.536
GLOBAL,PWRPETJAMXX01,31.536
GLOBAL,PWRPETMEXXX01,31.536
GLOBAL,PWRPETNICXX01,31.536
GLOBAL,PWRPETPANXX01,31.536
GLOBAL,PWRPETPERXX01,31.536
GLOBAL,PWRPETPRYXX01,31.536
GLOBAL,PWRPETSLVXX01,31.536
GLOBAL,PWRPETURYXX01,31.536
GLOBAL,PWRSDSARGXX01,31.536
GLOBAL,PWRSDSBOLXX01,31.536
GLOBAL,PWRSDSBRACN01,31.536
GLOBAL,PWRSDSBRACW01,31.536
GLOBAL,PWRSDSBRANE01,31.536
GLOBAL,PWRSDSBRANW01,31.536
GLOBAL,PWRSDSBRASE01,31.536
GLOBAL,PWRSDSBRASO01,31.536
GLOBAL,PWRSDSBRAWE01,31.536
GLOBAL,PWRSDSCHLXX01,31.536
GLOBAL,PWRSDSCOLXX01,31.536
GLOBAL,PWRSDSCRIXX01,31.536
GLOBAL,PWRSDSDOMXX01,31.536
GLOBAL,PWRSDSECUXX01,31.536
GLOBAL,PWRSDSGTMXX01,31.536
GLOBAL,PWRSDSHNDXX01,31.536
GLOBAL,PWRSDSHTIXX01,31.536
GLOBAL,PWRSDSJAMXX01,31.536
GLOBAL,PWRSDSMEXXX01,31.536
GLOBAL,PWRSDSNICXX01,31.536
GLOBAL,PWRSDSPANXX01,31.536
GLOBAL,PWRSDSPERXX01,31.536
GLOBAL,PWRSDSPRYXX01,31.536
GLOBAL,PWRSDSSLVXX01,31.536
GLOBAL,PWRSDSURYXX01,31.536
GLOBAL,PWRSPVARGXX01,31.536
GLOBAL,PWRSPVBOLXX01,31.536
GLOBAL,PWRSPVBRACN01,31.536
GLOBAL,PWRSPVBRACW01,31.536
GLOBAL,PWRSPVBRANE01,31.536
GLOBAL,PWRSPVBRANW01,31.536
GLOBAL,PWRSPVBRASE01,31.536
GLOBAL,PWRSPVBRASO01,31.536
GLOBAL,PWRSPVBRAWE01,31.536
GLOBAL,PWRSPVCHLXX01,31.536
GLOBAL,PWRSPVCOLXX01,31.536
GLOBAL,PWRSPVCRIXX01,31.536
GLOBAL,PWRSPVDOMXX01,31.536
GLOBAL,PWRSPVECUXX01,31.536
GLOBAL,PWRSPVGTMXX01,31.536
GLOBAL,PWRSPVHNDXX01,31.536
GLOBAL,PWRSPVHTIXX01,31.536
GLOBAL,PWRSPVJAMXX01,31.536
GLOBAL,PWRSPVMEXXX01,31.536
GLOBAL,PWRSPVNICXX01,31.536
GLOBAL,PWRSPVPANXX01,31.536
GLOBAL,PWRSPVPERXX01,31.536
GLOBAL,PWRSPVPRYXX01,31.536
GLOBAL,PWRSPVSLVXX01,31.536
GLOBAL,PWRSPVURYXX01,31.536
GLOBAL,PWRTRNARGXX,31.536
GLOBAL,PWRTRNBOLXX,31.536
GLOBAL,PWRTRNBRACN,31.536
GLOBAL,PWRTRNBRACW,31.536
GLOBAL,PWRTRNBRANE,31.536
GLOBAL,PWRTRNBRANW,31.536
GLOBAL,PWRTRNBRASE,31.536
GLOBAL,PWRTRNBRASO,31.536
GLOBAL,PWRTRNBRAWE,31.536
GLOBAL,PWRTRNCHLXX,31.536
GLOBAL,PWRTRNCOLXX,31.536
GLOBAL,PWRTRNCRIXX,31.536
GLOBAL,PWRTRNDOMXX,31.536
GLOBAL,PWRTRNECUXX,31.536
GLOBAL,PWRTRNGTMXX,31.536
GLOBAL,PWRTRNHNDXX,31.536
GLOBAL,PWRTRNHTIXX,31.536
GLOBAL,PWRTRNJAMXX,31.536
GLOBAL,PWRTRNMEXXX,31.536
GLOBAL,PWRTRNNICXX,31.536
GLOBAL,PWRTRNPANXX,31.536
GLOBAL,PWRTRNPERXX,31.536
GLOBAL,PWRTRNPRYXX,31.536
GLOBAL,PWRTRNSLVXX,31.536
GLOBAL,PWRTRNURYXX,31.536
GLOBAL,PWRURNARGXX01,31.536
GLOBAL,PWRURNBOLXX01,31.536
GLOBAL,PWRURNBRACN01,31.536
GLOBAL,PWRURNBRACW01,31.536
GLOBAL,PWRURNBRANE01,31.536
GLOBAL,PWRURNBRANW01,31.536
GLOBAL,PWRURNBRASE01,31.536
GLOBAL,PWRURNBRASO01,31.536
GLOBAL,PWRURNBRAWE01,31.536
GLOBAL,PWRURNCHLXX01,31.536
GLOBAL,PWRURNCOLXX01,31.536
GLOBAL,PWRURNCRIXX01,31.536
GLOBAL,PWRURNDOMXX01,31.536
GLOBAL,PWRURNECUXX01,31.536
GLOBAL,PWRURNGTMXX01,31.536
GLOBAL,PWRURNHNDXX01,31.536
GLOBAL,PWRURNHTIXX01,31.536
GLOBAL,PWRURNJAMXX01,31.536
GLOBAL,PWRURNMEXXX01,31.536
GLOBAL,PWRURNNICXX01,31.536
GLOBAL,PWRURNPANXX01,31.536
GLOBAL,PWRURNPERXX01,31.536
GLOBAL,PWRURNPRYXX01,31.536
GLOBAL,PWRURNSLVXX01,31.536
GLOBAL,PWRURNURYXX01,31.536
GLOBAL,PWRWASARGXX01,31.536
GLOBAL,PWRWASBOLXX01,31.536
GLOBAL,PWRWASBRACN01,31.536
GLOBAL,PWRWASBRACW01,31.536
GLOBAL,PWRWASBRANE01,31.536
GLOBAL,PWRWASBRANW01,31.536
GLOBAL,PWRWASBRASE01,31.536
GLOBAL,PWRWASBRASO01,31.536
GLOBAL,PWRWASBRAWE01,31.536
GLOBAL,PWRWASCHLXX01,31.536
GLOBAL,PWRWASCOLXX01,31.536
GLOBAL,PWRWASCRIXX01,31.536
GLOBAL,PWRWASDOMXX01,31.536
GLOBAL,PWRWASECUXX01,31.536
GLOBAL,PWRWASGTMXX01,31.536
GLOBAL,PWRWASHNDXX01,31.536
GLOBAL,PWRWASHTIXX01,31.536
GLOBAL,PWRWASJAMXX01,31.536
GLOBAL,PWRWASMEXXX01,31.536
GLOBAL,PWRWASNICXX01,31.536
GLOBAL,PWRWASPANXX01,31.536
GLOBAL,PWRWASPERXX01,31.536
GLOBAL,PWRWASPRYXX01,31.536
GLOBAL,PWRWASSLVXX01,31.536
GLOBAL,PWRWASURYXX01,31.536
GLOBAL,PWRWAVARGXX01,31.536
GLOBAL,PWRWAVBOLXX01,31.536
GLOBAL,PWRWAVBRACN01,31.536
GLOBAL,PWRWAVBRACW01,31.536
GLOBAL,PWRWAVBRANE01,31.536
GLOBAL,PWRWAVBRANW01,31.536
GLOBAL,PWRWAVBRASE01,31.536
GLOBAL,PWRWAVBRASO01,31.536
GLOBAL,PWRWAVBRAWE01,31.536
GLOBAL,PWRWAVCHLXX01,31.536
GLOBAL,PWRWAVCOLXX01,31.536
GLOBAL,PWRWAVCRIXX01,31.536
GLOBAL,PWRWAVDOMXX01,31.536
GLOBAL,PWRWAVECUXX01,31.536
GLOBAL,PWRWAVGTMXX01,31.536
GLOBAL,PWRWAVHNDXX01,31.536
GLOBAL,PWRWAVHTIXX01,31.536
GLOBAL,PWRWAVJAMXX01,31.536
GLOBAL,PWRWAVMEXXX01,31.536
GLOBAL,PWRWAVNICXX01,31.536
GLOBAL,PWRWAVPANXX01,31.536
GLOBAL,PWRWAVPERXX01,31.536
GLOBAL,PWRWAVPRYXX01,31.536
GLOBAL,PWRWAVSLVXX01,31.536
GLOBAL,PWRWAVURYXX01,31.536
GLOBAL,PWRWOFARGXX01,31.536
GLOBAL,PWRWOFBOLXX01,31.536
GLOBAL,PWRWOFBRACN01,31.536
GLOBAL,PWRWOFBRACW01,31.536
GLOBAL,PWRWOFBRANE01,31.536
GLOBAL,PWRWOFBRANW01,31.536
GLOBAL,PWRWOFBRASE01,31.536
GLOBAL,PWRWOFBRASO01,31.536
GLOBAL,PWRWOFBRAWE01,31.536
GLOBAL,PWRWOFCHLXX01,31.536
GLOBAL,PWRWOFCOLXX01,31.536
GLOBAL,PWRWOFCRIXX01,31.536
GLOBAL,PWRWOFDOMXX01,31.536
GLOBAL,PWRWOFECUXX01,31.536
GLOBAL,PWRWOFGTMXX01,31.536
GLOBAL,PWRWOFHNDXX01,31.536
GLOBAL,PWRWOFHTIXX01,31.536
GLOBAL,PWRWOFJAMXX01,31.536
GLOBAL,PWRWOFMEXXX01,31.536
GLOBAL,PWRWOFNICXX01,31.536
GLOBAL,PWRWOFPANXX01,31.536
GLOBAL,PWRWOFPERXX01,31.536
GLOBAL,PWRWOFPRYXX01,31.536
GLOBAL,PWRWOFSLVXX01,31.536
GLOBAL,PWRWOFURYXX01,31.536
GLOBAL,PWRWONARGXX01,31.536
GLOBAL,PWRWONBOLXX01,31.536
GLOBAL,PWRWONBRACN01,31.536
GLOBAL,PWRWONBRACW01,31.536
GLOBAL,PWRWONBRANE01,31.536
GLOBAL,PWRWONBRANW01,31.536
GLOBAL,PWRWONBRASE01,31.536
GLOBAL,PWRWONBRASO01,31.536
GLOBAL,PWRWONBRAWE01,31.536
GLOBAL,PWRWONCHLXX01,31.536
GLOBAL,PWRWONCOLXX01,31.536
GLOBAL,PWRWONCRIXX01,31.536
GLOBAL,PWRWONDOMXX01,31.536
GLOBAL,PWRWONECUXX01,31.536
GLOBAL,PWRWONGTMXX01,31.536
GLOBAL,PWRWONHNDXX01,31.536
GLOBAL,PWRWONHTIXX01,31.536
GLOBAL,PWRWONJAMXX01,31.536
GLOBAL,PWRWONMEXXX01,31.536
GLOBAL,PWRWONNICXX01,31.536
GLOBAL,PWRWONPANXX01,31.536
GLOBAL,PWRWONPERXX01,31.536
GLOBAL,PWRWONPRYXX01,31.536
GLOBAL,PWRWONSLVXX01,31.536
GLOBAL,PWRWONURYXX01,31.536
GLOBAL,TRNARGXXBOLXX,31.536
GLOBAL,TRNARGXXBRASO,31.536
GLOBAL,TRNARGXXCHLXX,31.536
GLOBAL,TRNARGXXPRYXX,31.536
GLOBAL,TRNARGXXURYXX,31.536
GLOBAL,TRNBOLXXBRACW,31.536
